,ClassId,SignName,Condition Positive,Predicited Positive,True Positive,Precision,Recall,F1,Prevalence
0,0,Speed limit (20km/h),60,64,60,0.9375,1.0,0.967741935483871,0.004750593824228029
1,1,Speed limit (30km/h),720,737,718,0.9742198100407056,0.9972222222222222,0.9855868222374742,0.057007125890736345
2,2,Speed limit (50km/h),750,767,749,0.9765319426336375,0.9986666666666667,0.987475280158207,0.05938242280285035
3,3,Speed limit (60km/h),450,464,441,0.9504310344827587,0.98,0.9649890590809629,0.035629453681710214
4,4,Speed limit (70km/h),660,652,652,1.0,0.9878787878787879,0.9939024390243903,0.052256532066508314
5,5,Speed limit (80km/h),630,680,615,0.9044117647058824,0.9761904761904762,0.9389312977099237,0.0498812351543943
6,6,End of speed limit (80km/h),150,133,131,0.9849624060150376,0.8733333333333333,0.9257950530035335,0.011876484560570071
7,7,Speed limit (100km/h),450,447,446,0.9977628635346756,0.9911111111111112,0.9944258639910815,0.035629453681710214
8,8,Speed limit (120km/h),450,434,432,0.9953917050691244,0.96,0.9773755656108596,0.035629453681710214
9,9,No passing,480,494,479,0.9696356275303644,0.9979166666666667,0.9835728952772073,0.03800475059382423
10,10,No passing for vehicles over 3.5 metric tons,660,659,655,0.9939301972685888,0.9924242424242424,0.9931766489764974,0.052256532066508314
11,11,Right-of-way at the next intersection,420,406,404,0.9950738916256158,0.9619047619047619,0.9782082324455206,0.0332541567695962
12,12,Priority road,690,658,657,0.9984802431610942,0.9521739130434783,0.9747774480712167,0.05463182897862233
13,13,Yield,720,730,717,0.9821917808219178,0.9958333333333333,0.9889655172413794,0.057007125890736345
14,14,Stop,270,278,267,0.960431654676259,0.9888888888888889,0.9744525547445255,0.021377672209026127
15,15,No vehicles,210,226,208,0.9203539823008849,0.9904761904761905,0.9541284403669724,0.0166270783847981
16,16,Vehicles over 3.5 metric tons prohibited,150,151,150,0.9933774834437086,1.0,0.9966777408637874,0.011876484560570071
17,17,No entry,360,325,324,0.9969230769230769,0.9,0.9459854014598541,0.028503562945368172
18,18,General caution,390,362,358,0.988950276243094,0.9179487179487179,0.952127659574468,0.030878859857482184
19,19,Dangerous curve to the left,60,63,60,0.9523809523809523,1.0,0.975609756097561,0.004750593824228029
20,20,Dangerous curve to the right,90,98,90,0.9183673469387755,1.0,0.9574468085106383,0.007125890736342043
21,21,Double curve,90,80,60,0.75,0.6666666666666666,0.7058823529411765,0.007125890736342043
22,22,Bumpy road,120,100,98,0.98,0.8166666666666667,0.890909090909091,0.009501187648456057
23,23,Slippery road,150,144,144,1.0,0.96,0.9795918367346939,0.011876484560570071
24,24,Road narrows on the right,90,97,87,0.8969072164948454,0.9666666666666667,0.93048128342246,0.007125890736342043
25,25,Road work,480,469,464,0.9893390191897654,0.9666666666666667,0.9778714436248682,0.03800475059382423
26,26,Traffic signals,180,196,177,0.9030612244897959,0.9833333333333333,0.9414893617021276,0.014251781472684086
27,27,Pedestrians,60,64,31,0.484375,0.5166666666666667,0.5000000000000001,0.004750593824228029
28,28,Children crossing,150,153,150,0.9803921568627451,1.0,0.99009900990099,0.011876484560570071
29,29,Bicycles crossing,90,91,90,0.989010989010989,1.0,0.994475138121547,0.007125890736342043
30,30,Beware of ice/snow,150,156,129,0.8269230769230769,0.86,0.8431372549019608,0.011876484560570071
31,31,Wild animals crossing,270,275,270,0.9818181818181818,1.0,0.9908256880733944,0.021377672209026127
32,32,End of all speed and passing limits,60,65,60,0.9230769230769231,1.0,0.9600000000000001,0.004750593824228029
33,33,Turn right ahead,210,212,209,0.9858490566037735,0.9952380952380953,0.9905213270142179,0.0166270783847981
34,34,Turn left ahead,120,120,120,1.0,1.0,1.0,0.009501187648456057
35,35,Ahead only,390,388,383,0.9871134020618557,0.982051282051282,0.9845758354755784,0.030878859857482184
36,36,Go straight or right,120,128,118,0.921875,0.9833333333333333,0.9516129032258064,0.009501187648456057
37,37,Go straight or left,60,63,60,0.9523809523809523,1.0,0.975609756097561,0.004750593824228029
38,38,Keep right,690,664,664,1.0,0.9623188405797102,0.980797636632201,0.05463182897862233
39,39,Keep left,90,87,86,0.9885057471264368,0.9555555555555556,0.9717514124293786,0.007125890736342043
40,40,Roundabout mandatory,90,119,90,0.7563025210084033,1.0,0.8612440191387559,0.007125890736342043
41,41,End of no passing,60,49,45,0.9183673469387755,0.75,0.8256880733944955,0.004750593824228029
42,42,End of no passing by vehicles over 3.5 metric tons,90,82,81,0.9878048780487805,0.9,0.9418604651162791,0.007125890736342043
