ClassId,SignName,Cond. Pos.,Pred. Pos.,True Pos.,Precision,Recall,F1,Prevalence
0,Speed limit (20km/h),60,64,60,0.938,1.000,0.968,0.005
1,Speed limit (30km/h),720,737,718,0.974,0.997,0.986,0.057
2,Speed limit (50km/h),750,767,749,0.977,0.999,0.987,0.059
3,Speed limit (60km/h),450,464,441,0.950,0.980,0.965,0.036
4,Speed limit (70km/h),660,652,652,1.000,0.988,0.994,0.052
5,Speed limit (80km/h),630,680,615,0.904,0.976,0.939,0.050
6,End of speed limit (80km/h),150,133,131,0.985,0.873,0.926,0.012
7,Speed limit (100km/h),450,447,446,0.998,0.991,0.994,0.036
8,Speed limit (120km/h),450,434,432,0.995,0.960,0.977,0.036
9,No passing,480,494,479,0.970,0.998,0.984,0.038
10,No passing for vehicles over 3.5 metric tons,660,659,655,0.994,0.992,0.993,0.052
11,Right-of-way at the next intersection,420,406,404,0.995,0.962,0.978,0.033
12,Priority road,690,658,657,0.998,0.952,0.975,0.055
13,Yield,720,730,717,0.982,0.996,0.989,0.057
14,Stop,270,278,267,0.960,0.989,0.974,0.021
15,No vehicles,210,226,208,0.920,0.990,0.954,0.017
16,Vehicles over 3.5 metric tons prohibited,150,151,150,0.993,1.000,0.997,0.012
17,No entry,360,325,324,0.997,0.900,0.946,0.029
18,General caution,390,362,358,0.989,0.918,0.952,0.031
19,Dangerous curve to the left,60,63,60,0.952,1.000,0.976,0.005
20,Dangerous curve to the right,90,98,90,0.918,1.000,0.957,0.007
21,Double curve,90,80,60,0.750,0.667,0.706,0.007
22,Bumpy road,120,100,98,0.980,0.817,0.891,0.010
23,Slippery road,150,144,144,1.000,0.960,0.980,0.012
24,Road narrows on the right,90,97,87,0.897,0.967,0.930,0.007
25,Road work,480,469,464,0.989,0.967,0.978,0.038
26,Traffic signals,180,196,177,0.903,0.983,0.941,0.014
27,Pedestrians,60,64,31,0.484,0.517,0.500,0.005
28,Children crossing,150,153,150,0.980,1.000,0.990,0.012
29,Bicycles crossing,90,91,90,0.989,1.000,0.994,0.007
30,Beware of ice/snow,150,156,129,0.827,0.860,0.843,0.012
31,Wild animals crossing,270,275,270,0.982,1.000,0.991,0.021
32,End of all speed and passing limits,60,65,60,0.923,1.000,0.960,0.005
33,Turn right ahead,210,212,209,0.986,0.995,0.991,0.017
34,Turn left ahead,120,120,120,1.000,1.000,1.000,0.010
35,Ahead only,390,388,383,0.987,0.982,0.985,0.031
36,Go straight or right,120,128,118,0.922,0.983,0.952,0.010
37,Go straight or left,60,63,60,0.952,1.000,0.976,0.005
38,Keep right,690,664,664,1.000,0.962,0.981,0.055
39,Keep left,90,87,86,0.989,0.956,0.972,0.007
40,Roundabout mandatory,90,119,90,0.756,1.000,0.861,0.007
41,End of no passing,60,49,45,0.918,0.750,0.826,0.005
42,End of no passing by vehicles over 3.5 metric tons,90,82,81,0.988,0.900,0.942,0.007
